active_mode,attempted_capture,backlash,biosphere,boundary_uncertainty,budget_exhausted,command_audit,command_policy,command_support,controller,cooperation_rate,curtailment_factor,defective_rate,effective_audit,effective_capture,effective_mode,effective_policy,effective_support,episode,estimated_cr,estimated_response_steps,evidence_status,institution,irreversible,justice,master_seed,nominal_cost,normal_release_streak,observed_at_step,observed_pressure,observed_trend,pending_due_step,pending_effect_count,pending_mode,pending_transition_count,perceived_improvement,performative_gap,phase,precaution_release_streak,pressure,pressure_before,reason,release_streak,remaining_budget,requested_mode,response_status,scenario,step_cost,t,trigger,true_boundary,trust,unknown_streak
0,0.643156128,0.00109867,0.650505257,0.24,0,0.78,0.14,0.18,threshold,0.370554253,1.0,0.629445747,0.78,0.151133127,0,0.14,0.18,0,-9.287331377,13.0,sufficient_evidence,0.477768088,0,0.635276829,101,0.0294,0,23,0.706837213,0.024601891,26,4,1,1,0.0,0.224866184,evaluation,0,0.746293003,0.72025581,pressure_threshold,0,3.4582,1,available,baseline,0.0294,23,threshold,1.123961594,0.604138873,0
0,0.220703273,0.001139872,0.641203852,0.24,0,0.78,0.14,0.18,threshold,0.489579138,1.0,0.510420862,0.78,0.051891758,0,0.14,0.18,0,-12.137865251,13.0,sufficient_evidence,0.475019793,0,0.634340365,101,0.0294,0,24,0.767610383,0.035453275,26,4,1,1,0.0,0.218238848,evaluation,0,0.76202805,0.746293003,pressure_threshold,0,3.4288,1,available,baseline,0.0294,24,threshold,1.123961594,0.602850106,0
0,0.141239231,0.001152982,0.634405207,0.24,0,0.78,0.14,0.18,threshold,0.573627838,1.0,0.426372162,0.78,0.033214167,0,0.14,0.18,0,-13.0,13.0,sufficient_evidence,0.4739377,0,0.635387827,101,0.0294,0,25,0.821254826,0.040910625,26,4,1,2,0.0,0.200431399,evaluation,0,0.774910259,0.76202805,pressure_threshold,0,3.3994,2,available,baseline,0.0294,25,threshold,1.123961594,0.603259243,0
1,0.719851297,0.001138318,0.623128638,0.24,0,0.86,0.26,0.3,threshold,0.115558316,1.0,0.884441684,0.78,0.169247828,0,0.14,0.18,0,-12.221367128,13.0,sufficient_evidence,0.466425301,0,0.632691974,101,0.0294,0,26,0.784470321,0.017602086,28,4,2,2,0.036784506,0.201152663,evaluation,0,0.796586354,0.774910259,pressure_threshold,0,3.37,1,available,baseline,0.0294,26,threshold,1.123961594,0.59998553,0
1,0.708048292,0.001176059,0.613719347,0.24,0,0.86,0.38,0.42,threshold,0.220661176,1.0,0.779338824,0.78,0.166559333,0,0.14,0.18,0,-13.0,13.0,sufficient_evidence,0.459566053,0,0.631125236,101,0.0294,0,27,0.799218197,0.016745823,28,4,2,2,0.0,0.261579735,evaluation,0,0.818860637,0.796586354,pressure_threshold,0,3.3406,1,available,baseline,0.0294,27,threshold,1.123961594,0.596761944,0
2,0.730430299,0.001197994,0.60162068,0.24,0,0.96,0.5,0.54,threshold,0.180723899,1.0,0.819276101,0.78,0.171876359,0,0.14,0.18,0,-8.307486064,13.0,sufficient_evidence,0.451507964,0,0.627716097,101,0.0294,0,28,0.775939941,0.004738599,29,4,1,1,0.023278257,0.221436268,evaluation,0,0.839576362,0.818860637,pressure_threshold,0,3.3112,1,available,baseline,0.0294,28,threshold,1.123961594,0.592745271,0
1,0.207046872,0.001245722,0.591948743,0.24,0,0.86,0.62,0.56,threshold,0.583833361,1.0,0.416166639,0.78,0.04875193,0,0.14,0.18,0,-13.0,13.0,sufficient_evidence,0.448697855,0,0.626708728,101,0.0294,0,29,0.838730187,0.022154093,32,4,2,1,0.0,0.208296875,evaluation,0,0.851641167,0.839576362,pressure_threshold,0,3.2818,2,available,baseline,0.0294,29,threshold,1.123961594,0.591553526,0
1,0.207711312,0.002829714,0.586184688,0.24,0,0.86,0.65,0.56,threshold,0.691601926,1.0,0.308398074,0.86,0.047312913,1,0.26,0.3,0,-13.0,13.0,sufficient_evidence,0.447414096,0,0.628947141,101,0.0418,0,30,0.857427665,0.021117109,32,4,2,1,0.0,0.170016432,evaluation,0,0.863233508,0.851641167,pressure_threshold,0,3.24,2,available,baseline,0.0418,30,threshold,1.123961594,0.594568098,0
1,0.257467654,9.5591e-05,0.57861535,0.24,0,0.86,0.65,0.56,threshold,0.659778029,1.0,0.340221971,0.86,0.058143828,1,0.38,0.42,0,-12.0,12.0,sufficient_evidence,0.445024396,0,0.631015277,101,0.0526,0,31,0.868488887,0.018100343,32,4,2,1,0.0,0.17934003,evaluation,0,0.868868063,0.863233508,pressure_threshold,0,3.1874,2,available,baseline,0.0526,31,threshold,1.123961594,0.59868904,0
2,0.092800356,0.0,0.573387122,0.24,0,0.96,0.77,0.68,threshold,0.803096927,1.0,0.196903073,0.96,0.020115252,2,0.5,0.54,0,-11.0,11.0,sufficient_evidence,0.445094805,0,0.636197078,101,0.0654,0,32,0.899619512,0.022009427,,4,,0,0.0,0.144165476,evaluation,0,0.867050149,0.868868063,pressure_threshold,0,3.122,2,available,baseline,0.0654,32,threshold,1.123961594,0.606771995,0
2,0.234058446,0.017479855,0.567564204,0.24,0,0.96,0.89,0.8,threshold,0.729910615,1.0,0.270089385,0.86,0.051940253,1,0.62,0.56,0,-10.0,10.0,sufficient_evidence,0.442876293,0,0.639773319,101,0.0712,0,33,0.880497743,0.009670069,,4,,0,0.019121768,0.129527525,evaluation,0,0.862359164,0.867050149,pressure_threshold,0,3.0508,2,available,baseline,0.0712,33,threshold,1.123961594,0.614074033,0
2,1.149105081,0.027512038,0.560596481,0.24,0,0.96,0.91,0.82,threshold,0.489041564,1.0,0.510958436,0.86,0.25432446,1,0.65,0.56,0,-9.0,9.0,sufficient_evidence,0.43218055,0,0.639751866,101,0.073,0,34,0.813109391,-0.013447458,,4,,0,0.067388352,0.055949751,evaluation,0,0.876141436,0.862359164,pressure_threshold,0,2.9778,2,available,baseline,0.073,34,threshold,1.123961594,0.618073123,0
2,1.184490927,0.027513432,0.553489916,0.24,0,0.96,0.91,0.82,threshold,0.449346848,1.0,0.550653152,0.86,0.262157215,1,0.65,0.56,0,-9.0,9.0,sufficient_evidence,0.421298261,0,0.639804285,101,0.073,0,35,0.919520337,0.022510063,,4,,0,0.0,0.19840697,evaluation,0,0.883420939,0.876141436,pressure_threshold,0,2.9048,2,available,baseline,0.073,35,threshold,1.123961594,0.620344061,0
2,0.048129102,0.013277485,0.549895948,0.24,0,0.96,0.91,0.82,threshold,0.913982657,1.0,0.086017343,0.96,0.010215544,2,0.77,0.68,0,-9.0,9.0,sufficient_evidence,0.421849918,0,0.646741696,101,0.0858,0,36,0.884046072,0.005114765,,4,,0,0.035474265,0.05897365,evaluation,0,0.881699666,0.883420939,pressure_threshold,0,2.819,2,available,baseline,0.0858,36,threshold,1.123961594,0.6320906,0
2,0.10779959,0.0,0.546756763,0.24,0,0.96,0.91,0.82,threshold,0.940962011,1.0,0.059037989,0.96,0.022659501,2,0.89,0.8,0,-8.0,8.0,sufficient_evidence,0.422229531,0,0.656026619,101,0.0966,0,37,0.948342579,0.022869288,,4,,0,0.0,0.126819353,evaluation,0,0.867303342,0.881699666,pressure_threshold,0,2.7224,2,available,baseline,0.0966,37,threshold,1.123961594,0.645253268,0
2,1.207888443,0.0,0.540949373,0.24,0,0.96,0.91,0.82,threshold,0.572841903,1.0,0.427158097,0.96,0.253135776,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.413274722,0,0.662016399,101,0.0984,0,38,0.87553724,-0.0058331,,4,,0,0.072805339,0.021667125,evaluation,0,0.869214782,0.867303342,pressure_threshold,0,2.624,2,available,baseline,0.0984,38,threshold,1.123961594,0.655543009,0
