active_emergency_steps,budget_exhausted_steps,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_unknown_streak,min_estimated_cr,min_justice,phase,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,total_cost,trigger,true_boundary,unknown_steps
34,7,reserve,27,17393204808567371076,16,2,0.503208334,2,0.479669554,0.775399796,0.838315371,0.953620625,-1,0,0,101,0,-10.089254232,0.650325309,evaluation,0.0,37,29,6,baseline,4.0,reserve,0.927957265,0
44,11,threshold,32,62280772019083631,17,2,0.404783695,2,0.322082631,0.791960559,0.99852829,0.885132729,-1,0,0,101,0,-13.0,0.601569318,evaluation,0.0,47,18,7,baseline,4.0,threshold,1.05091605,0
46,11,threshold_hysteresis,32,62280772019083631,17,2,0.404783695,2,0.322082631,0.791960559,0.99852829,0.885132729,-1,0,0,101,0,-13.0,0.601569318,evaluation,0.0,49,18,5,baseline,4.0,threshold_hysteresis,1.05091605,0
48,12,reserve,33,62280772019083631,17,2,0.451634597,2,0.316262633,0.771027592,0.963603447,0.871294123,-1,0,0,101,0,-11.310884195,0.637889305,evaluation,0.0,51,17,4,baseline,4.0,reserve,1.05091605,0
22,3,threshold,22,1302410807168222296,18,1,0.443533409,1,0.56487034,0.837589259,0.815044875,0.985227036,-1,0,0,101,0,-10.976986833,0.653457043,evaluation,0.0,22,25,25,baseline,4.0,threshold,0.985970516,0
26,5,threshold_hysteresis,26,1302410807168222296,18,1,0.462994163,1,0.565872202,0.862819551,0.786873092,0.969147385,-1,0,0,101,0,-10.976986833,0.656283289,evaluation,0.0,26,24,22,baseline,4.0,threshold_hysteresis,0.985970516,0
32,3,reserve,30,1302410807168222296,18,2,0.469188867,0,0.579542832,0.844898628,0.807793647,0.977798716,-1,0,0,101,0,-11.835505095,0.665016722,evaluation,0.0,35,36,1,baseline,4.0,reserve,0.985970516,0
41,8,threshold,30,7079560381571654035,19,2,0.361111663,2,0.045269343,0.632821331,1.234279742,0.807326468,66,1,0,101,0,-13.0,0.519985697,evaluation,0.0,44,21,7,baseline,4.0,threshold,1.027812557,0
41,8,threshold_hysteresis,30,7079560381571654035,19,2,0.361111663,2,0.045269343,0.632821331,1.234279742,0.807326468,66,1,0,101,0,-13.0,0.519985697,evaluation,0.0,44,21,7,baseline,4.0,threshold_hysteresis,1.027812557,0
53,13,reserve,37,7079560381571654035,19,2,0.455333191,2,0.026917456,0.623149339,1.105488912,0.796753792,67,1,0,101,0,-10.398413666,0.565113939,evaluation,0.0,56,15,1,baseline,4.0,reserve,1.027812557,0
