arm,episode,environment_seed,true_boundary,irreversible_entry,first_irreversible_step,final_pressure,final_biosphere,final_institution,final_trust,final_justice,min_hidden_cr,min_estimated_cr,cumulative_performative_gap,capture_absorption,justice_stability,defective_action_rate,false_positive_rate,false_negative_rate,emergency_trigger_rate,mean_response_delay,mean_estimation_error,final_mode
robust_reserve,9,10348683437359800212,1.0481448322,1,47,1.5154712280,0.4420261097,0.0000000000,0.1340332226,0.5236197703,-10.9939046896,-10.9939046896,15.9509761605,0.7047427267,0.4109268970,0.4083195956,0.6250000000,0.0000000000,0.4583333333,3.8571428571,19.9659360752,3
full_rvcim,9,10348683437359800212,1.0481448322,1,69,0.9106685668,0.5748651830,0.0000000000,0.0169181249,0.6247749690,-3.6719824816,-8.9533270867,13.1333763573,0.7771755290,0.5197957270,0.3752957774,0.9583333333,0.0000000000,0.0972222222,3.4000000000,35.9817017648,1
weak_coupling,10,11027220222535602054,0.9009444595,1,17,3.2556991762,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-18.9112005700,-16.8850005090,22.7469956808,0.1964413366,0.0564032946,0.7827035954,0.0000000000,0.9305555556,0.0000000000,0.0000000000,13.7257945653,0
nominal_trigger,10,11027220222535602054,0.9009444595,1,17,3.0775611316,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-21.2250913543,-18.9509744234,21.6741211048,0.3704459207,0.0127993463,0.7212513777,0.0000000000,0.1527777778,0.7222222222,9.5000000000,12.2857931176,2
robust_reserve,10,11027220222535602054,0.9009444595,1,22,2.1782900127,0.2282255033,0.0000000000,0.2100747776,0.4033584209,-14.8799179964,-14.8799179964,14.1340473616,0.7023080114,0.3608048122,0.4217699962,0.1805555556,0.0000000000,0.8194444444,5.9090909091,7.9964300203,3
full_rvcim,10,11027220222535602054,0.9009444595,1,26,1.9847171421,0.3212325593,0.0000000000,0.4689841450,0.7137939888,-12.8154895093,-12.8154895093,12.3647542894,0.7769429300,0.5515239133,0.3808365372,0.3194444444,0.0000000000,0.7361111111,4.2121212121,9.2697195882,2
weak_coupling,11,634620653782910854,0.9194034998,1,21,3.1445474692,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.5747254749,-14.7912082744,28.8589692442,0.2092366867,0.1747803113,0.8367260217,0.0000000000,0.8611111111,0.0000000000,0.0000000000,12.3437165380,0
nominal_trigger,11,634620653782910854,0.9194034998,1,23,2.9003926092,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-18.0458495850,-16.1123657009,26.5378154170,0.3885278806,0.1039764591,0.7500435406,0.0000000000,0.0833333333,0.6666666667,7.1666666667,12.4596526780,2
robust_reserve,11,634620653782910854,0.9194034998,1,35,1.8123919689,0.2611635562,0.0000000000,0.1998869871,0.5695682973,-12.8787089281,-12.8787089281,15.7416198824,0.7034097917,0.4265485027,0.4304228715,0.4583333333,0.0000000000,0.5416666667,4.6000000000,21.4442066408,3
full_rvcim,11,634620653782910854,0.9194034998,1,50,1.4295684157,0.3971320569,0.0000000000,0.1402855460,0.6605941915,-11.1995945920,-11.1995945920,13.3766665637,0.7765893144,0.5550738815,0.4195171330,0.6944444444,0.0000000000,0.3055555556,3.2777777778,28.9902119992,1
